"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2006","00","00000","United States","291,531,091","38,757,253","38,535,015","38,979,491","38,535,015 to 38,979,491","13.3","13.2","13.4","13.2 to 13.4","72,482,732","13,285,569","13,170,950","13,400,188","13,170,950 to 13,400,188","18.3","18.2","18.5","18.2 to 18.5","51,999,081","8,700,048","8,613,863","8,786,233","8,613,863 to 8,786,233","16.7","16.6","16.9","16.6 to 16.9","20,066,651","4,211,345","4,166,465","4,256,225","4,166,465 to 4,256,225","21.0","20.8","21.2","20.8 to 21.2","$48,451","$48,369","$48,533","$48,369 to $48,533"
"2006","01","01000","Alabama","4,482,161","743,556","730,298","756,815","730,298 to 756,815","16.6","16.3","16.9","16.3 to 16.9","1,097,080","253,314","246,023","260,606","246,023 to 260,606","23.1","22.4","23.8","22.4 to 23.8","796,679","171,004","164,556","177,452","164,556 to 177,452","21.5","20.7","22.3","20.7 to 22.3","294,334","77,388","74,009","80,767","74,009 to 80,767","26.3","25.1","27.4","25.1 to 27.4","$38,811","$38,320","$39,302","$38,320 to $39,302"
"2006","01","01001","Autauga County (AL)","49,389","6,152","5,049","7,254","5,049 to 7,254","12.5","10.2","14.7","10.2 to 14.7","12,840","2,115","1,708","2,522","1,708 to 2,522","16.5","13.3","19.6","13.3 to 19.6","9,501","1,444","1,142","1,746","1,142 to 1,746","15.2","12.0","18.4","12.0 to 18.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,491","$43,547","$49,435","$43,547 to $49,435"
"2006","01","01003","Baldwin County (AL)","166,817","18,269","15,406","21,132","15,406 to 21,132","11.0","9.2","12.7","9.2 to 12.7","37,442","5,895","4,819","6,972","4,819 to 6,972","15.7","12.9","18.6","12.9 to 18.6","27,551","3,941","3,123","4,759","3,123 to 4,759","14.3","11.3","17.3","11.3 to 17.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,493","$42,921","$48,065","$42,921 to $48,065"
"2006","01","01005","Barbour County (AL)","25,217","7,247","6,151","8,342","6,151 to 8,342","28.7","24.4","33.1","24.4 to 33.1","6,550","2,224","1,819","2,630","1,819 to 2,630","34.0","27.8","40.2","27.8 to 40.2","4,854","1,606","1,286","1,926","1,286 to 1,926","33.1","26.5","39.7","26.5 to 39.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$28,692","$26,408","$30,977","$26,408 to $30,977"
"2006","01","01007","Bibb County (AL)","20,199","3,791","2,993","4,588","2,993 to 4,588","18.8","14.8","22.7","14.8 to 22.7","5,051","1,259","994","1,525","994 to 1,525","24.9","19.7","30.2","19.7 to 30.2","3,738","870","671","1,069","671 to 1,069","23.3","18.0","28.6","18.0 to 28.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,794","$33,460","$40,129","$33,460 to $40,129"
"2006","01","01009","Blount County (AL)","55,793","7,118","5,742","8,494","5,742 to 8,494","12.8","10.3","15.2","10.3 to 15.2","13,180","2,323","1,859","2,787","1,859 to 2,787","17.6","14.1","21.1","14.1 to 21.1","9,752","1,591","1,245","1,937","1,245 to 1,937","16.3","12.8","19.9","12.8 to 19.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,494","$38,297","$44,692","$38,297 to $44,692"
"2006","01","01011","Bullock County (AL)","9,336","3,074","2,435","3,712","2,435 to 3,712","32.9","26.1","39.8","26.1 to 39.8","2,647","1,011","800","1,221","800 to 1,221","38.2","30.2","46.1","30.2 to 46.1","1,900","698","545","851","545 to 851","36.7","28.7","44.8","28.7 to 44.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$23,095","$20,956","$25,234","$20,956 to $25,234"
"2006","01","01013","Butler County (AL)","20,206","4,602","3,690","5,513","3,690 to 5,513","22.8","18.3","27.3","18.3 to 27.3","4,968","1,551","1,232","1,871","1,232 to 1,871","31.2","24.8","37.7","24.8 to 37.7","3,639","1,098","852","1,344","852 to 1,344","30.2","23.4","36.9","23.4 to 36.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,158","$26,831","$31,484","$26,831 to $31,484"
"2006","01","01015","Calhoun County (AL)","110,454","19,388","16,803","21,973","16,803 to 21,973","17.6","15.2","19.9","15.2 to 19.9","25,772","6,899","5,813","7,985","5,813 to 7,985","26.8","22.6","31.0","22.6 to 31.0","18,316","4,686","3,859","5,513","3,859 to 5,513","25.6","21.1","30.1","21.1 to 30.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,684","$34,119","$39,249","$34,119 to $39,249"
"2006","01","01017","Chambers County (AL)","34,577","6,314","5,162","7,465","5,162 to 7,465","18.3","14.9","21.6","14.9 to 21.6","8,321","2,160","1,751","2,569","1,751 to 2,569","26.0","21.0","30.9","21.0 to 30.9","6,169","1,481","1,182","1,780","1,182 to 1,780","24.0","19.2","28.9","19.2 to 28.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,014","$29,360","$34,668","$29,360 to $34,668"
"2006","01","01019","Cherokee County (AL)","24,460","4,431","3,557","5,304","3,557 to 5,304","18.1","14.5","21.7","14.5 to 21.7","5,213","1,354","1,075","1,633","1,075 to 1,633","26.0","20.6","31.3","20.6 to 31.3","3,859","939","730","1,148","730 to 1,148","24.3","18.9","29.7","18.9 to 29.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,097","$34,362","$39,832","$34,362 to $39,832"
"2006","01","01021","Chilton County (AL)","41,477","7,871","6,447","9,295","6,447 to 9,295","19.0","15.5","22.4","15.5 to 22.4","10,064","2,654","2,167","3,140","2,167 to 3,140","26.4","21.5","31.2","21.5 to 31.2","7,329","1,782","1,437","2,127","1,437 to 2,127","24.3","19.6","29.0","19.6 to 29.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,717","$33,810","$39,623","$33,810 to $39,623"
"2006","01","01023","Choctaw County (AL)","14,485","3,410","2,685","4,134","2,685 to 4,134","23.5","18.5","28.5","18.5 to 28.5","3,423","1,052","832","1,271","832 to 1,271","30.7","24.3","37.1","24.3 to 37.1","2,554","751","583","919","583 to 919","29.4","22.8","36.0","22.8 to 36.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$28,730","$26,088","$31,372","$26,088 to $31,372"
"2006","01","01025","Clarke County (AL)","26,845","6,862","5,632","8,091","5,632 to 8,091","25.6","21.0","30.1","21.0 to 30.1","7,014","2,230","1,792","2,668","1,792 to 2,668","31.8","25.5","38.0","25.5 to 38.0","5,253","1,629","1,290","1,968","1,290 to 1,968","31.0","24.6","37.5","24.6 to 37.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,659","$27,100","$32,219","$27,100 to $32,219"
"2006","01","01027","Clay County (AL)","13,551","2,110","1,686","2,534","1,686 to 2,534","15.6","12.4","18.7","12.4 to 18.7","2,944","603","478","728","478 to 728","20.5","16.2","24.7","16.2 to 24.7","2,237","420","324","516","324 to 516","18.8","14.5","23.1","14.5 to 23.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,512","$29,593","$35,431","$29,593 to $35,431"
"2006","01","01029","Cleburne County (AL)","14,555","2,313","1,823","2,803","1,823 to 2,803","15.9","12.5","19.3","12.5 to 19.3","3,312","790","621","960","621 to 960","23.9","18.8","29.0","18.8 to 29.0","2,463","532","409","655","409 to 655","21.6","16.6","26.6","16.6 to 26.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,119","$32,171","$38,067","$32,171 to $38,067"
"2006","01","01031","Coffee County (AL)","45,157","6,424","5,370","7,477","5,370 to 7,477","14.2","11.9","16.6","11.9 to 16.6","10,682","2,207","1,794","2,620","1,794 to 2,620","20.7","16.8","24.5","16.8 to 24.5","7,764","1,505","1,203","1,807","1,203 to 1,807","19.4","15.5","23.3","15.5 to 23.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,417","$38,738","$44,096","$38,738 to $44,096"
"2006","01","01033","Colbert County (AL)","54,089","7,775","6,431","9,119","6,431 to 9,119","14.4","11.9","16.9","11.9 to 16.9","12,017","2,588","2,092","3,083","2,092 to 3,083","21.5","17.4","25.7","17.4 to 25.7","8,951","1,753","1,378","2,128","1,378 to 2,128","19.6","15.4","23.8","15.4 to 23.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,690","$34,005","$39,376","$34,005 to $39,376"
"2006","01","01035","Conecuh County (AL)","13,276","3,498","2,771","4,225","2,771 to 4,225","26.3","20.9","31.8","20.9 to 31.8","3,161","1,212","965","1,458","965 to 1,458","38.3","30.5","46.1","30.5 to 46.1","2,406","827","642","1,012","642 to 1,012","34.4","26.7","42.1","26.7 to 42.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$25,992","$23,684","$28,301","$23,684 to $28,301"
"2006","01","01037","Coosa County (AL)","10,935","1,826","1,456","2,196","1,456 to 2,196","16.7","13.3","20.1","13.3 to 20.1","2,389","558","443","674","443 to 674","23.4","18.5","28.2","18.5 to 28.2","1,821","397","308","486","308 to 486","21.8","16.9","26.7","16.9 to 26.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,424","$29,616","$35,231","$29,616 to $35,231"
"2006","01","01039","Covington County (AL)","36,674","6,205","5,098","7,313","5,098 to 7,313","16.9","13.9","19.9","13.9 to 19.9","8,259","2,072","1,672","2,472","1,672 to 2,472","25.1","20.2","29.9","20.2 to 29.9","5,998","1,448","1,132","1,764","1,132 to 1,764","24.1","18.9","29.4","18.9 to 29.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,293","$28,176","$32,409","$28,176 to $32,409"
"2006","01","01041","Crenshaw County (AL)","13,516","2,707","2,181","3,234","2,181 to 3,234","20.0","16.1","23.9","16.1 to 23.9","3,137","875","698","1,052","698 to 1,052","27.9","22.3","33.5","22.3 to 33.5","2,255","613","477","749","477 to 749","27.2","21.2","33.2","21.2 to 33.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,576","$27,986","$33,165","$27,986 to $33,165"
"2006","01","01043","Cullman County (AL)","79,055","12,402","10,699","14,105","10,699 to 14,105","15.7","13.5","17.8","13.5 to 17.8","18,036","3,654","2,991","4,318","2,991 to 4,318","20.3","16.6","23.9","16.6 to 23.9","13,142","2,313","1,854","2,772","1,854 to 2,772","17.6","14.1","21.1","14.1 to 21.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,774","$33,268","$38,279","$33,268 to $38,279"
"2006","01","01045","Dale County (AL)","46,623","7,891","6,595","9,187","6,595 to 9,187","16.9","14.1","19.7","14.1 to 19.7","12,943","3,007","2,452","3,563","2,452 to 3,563","23.2","18.9","27.5","18.9 to 27.5","9,212","2,078","1,676","2,480","1,676 to 2,480","22.6","18.2","26.9","18.2 to 26.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,969","$34,137","$39,801","$34,137 to $39,801"
"2006","01","01047","Dallas County (AL)","43,380","12,234","10,197","14,271","10,197 to 14,271","28.2","23.5","32.9","23.5 to 32.9","11,954","4,685","3,836","5,534","3,836 to 5,534","39.2","32.1","46.3","32.1 to 46.3","8,602","3,345","2,710","3,980","2,710 to 3,980","38.9","31.5","46.3","31.5 to 46.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$26,135","$23,934","$28,335","$23,934 to $28,335"
"2006","01","01049","DeKalb County (AL)","67,185","11,478","9,580","13,376","9,580 to 13,376","17.1","14.3","19.9","14.3 to 19.9","16,547","4,037","3,293","4,780","3,293 to 4,780","24.4","19.9","28.9","19.9 to 28.9","11,623","2,671","2,106","3,236","2,106 to 3,236","23.0","18.1","27.8","18.1 to 27.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$31,613","$29,854","$33,372","$29,854 to $33,372"
"2006","01","01051","Elmore County (AL)","69,621","9,043","7,570","10,515","7,570 to 10,515","13.0","10.9","15.1","10.9 to 15.1","17,978","2,949","2,396","3,502","2,396 to 3,502","16.4","13.3","19.5","13.3 to 19.5","13,144","2,141","1,708","2,574","1,708 to 2,574","16.3","13.0","19.6","13.0 to 19.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,006","$46,992","$53,021","$46,992 to $53,021"
"2006","01","01053","Escambia County (AL)","35,692","7,979","6,598","9,360","6,598 to 9,360","22.4","18.5","26.2","18.5 to 26.2","8,690","2,753","2,279","3,226","2,279 to 3,226","31.7","26.2","37.1","26.2 to 37.1","6,264","1,814","1,445","2,183","1,445 to 2,183","29.0","23.1","34.8","23.1 to 34.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,844","$30,559","$35,129","$30,559 to $35,129"
"2006","01","01055","Etowah County (AL)","101,490","16,973","14,543","19,404","14,543 to 19,404","16.7","14.3","19.1","14.3 to 19.1","23,276","5,697","4,689","6,705","4,689 to 6,705","24.5","20.1","28.8","20.1 to 28.8","16,961","3,814","3,054","4,574","3,054 to 4,574","22.5","18.0","27.0","18.0 to 27.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,448","$30,892","$34,005","$30,892 to $34,005"
"2006","01","01057","Fayette County (AL)","17,661","2,942","2,355","3,529","2,355 to 3,529","16.7","13.3","20.0","13.3 to 20.0","3,901","859","684","1,034","684 to 1,034","22.0","17.5","26.5","17.5 to 26.5","2,941","616","480","752","480 to 752","20.9","16.3","25.6","16.3 to 25.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,465","$31,712","$37,218","$31,712 to $37,218"
"2006","01","01059","Franklin County (AL)","30,414","5,156","4,228","6,084","4,228 to 6,084","17.0","13.9","20.0","13.9 to 20.0","7,325","1,823","1,458","2,188","1,458 to 2,188","24.9","19.9","29.9","19.9 to 29.9","5,232","1,279","1,000","1,558","1,000 to 1,558","24.4","19.1","29.8","19.1 to 29.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,911","$28,532","$33,290","$28,532 to $33,290"
"2006","01","01061","Geneva County (AL)","25,563","4,978","3,985","5,971","3,985 to 5,971","19.5","15.6","23.4","15.6 to 23.4","5,685","1,702","1,353","2,051","1,353 to 2,051","29.9","23.8","36.1","23.8 to 36.1","4,159","1,189","924","1,454","924 to 1,454","28.6","22.2","35.0","22.2 to 35.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,230","$27,615","$32,845","$27,615 to $32,845"
"2006","01","01063","Greene County (AL)","9,268","3,075","2,428","3,722","2,428 to 3,722","33.2","26.2","40.2","26.2 to 40.2","2,479","1,035","818","1,252","818 to 1,252","41.8","33.0","50.5","33.0 to 50.5","1,840","726","562","890","562 to 890","39.5","30.5","48.4","30.5 to 48.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$23,404","$21,261","$25,546","$21,261 to $25,546"
"2006","01","01065","Hale County (AL)","17,033","4,238","3,465","5,010","3,465 to 5,010","24.9","20.3","29.4","20.3 to 29.4","4,592","1,467","1,175","1,758","1,175 to 1,758","31.9","25.6","38.3","25.6 to 38.3","3,491","1,006","792","1,220","792 to 1,220","28.8","22.7","34.9","22.7 to 34.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,268","$26,715","$31,820","$26,715 to $31,820"
