id	rate
01001	14.9
01003	13.4
01005	29.5
01007	22.2
01009	14.9
01011	32.8
01013	24.1
01015	20.9
01017	23.7
01019	23.8
01021	18.3
01023	27.3
01025	26.3
01027	18.7
01029	17.2
01031	16.9
01033	18.7
01035	27.9
01037	25.5
01039	24.2
01041	18.2
01043	18.2
01045	18.8
01047	35.7
01049	20.3
01051	13.8
01053	25.5
01055	21.0
01057	22.5
01059	19.9
01061	24.4
01063	35.1
01065	28.5
01067	18.7
01069	17.5
01071	17.9
01073	18.7
01075	22.1
01077	16.4
01079	18.0
01081	21.4
01083	13.9
01085	27.1
01087	30.9
01089	13.8
01091	24.6
01093	25.6
01095	19.1
01097	19.7
01099	28.7
01101	23.2
01103	16.8
01105	33.0
01107	26.5
01109	25.6
01111	22.1
01113	20.1
01115	17.3
01117	8.1
01119	39.1
01121	26.2
01123	18.8
01125	20.2
01127	22.1
01129	18.9
01131	39.9
01133	19.8
02000	10.8
02013	17.8
02016	10.1
02020	8.5
02050	23.5
02060	9.1
02068	5.8
02070	21.3
02090	9.5
02100	11.2
02105	18.5
02110	7.5
02122	10.6
02130	11.6
02150	9.6
02164	16.4
02170	11.6
02180	26.4
02185	11.5
02188	23.9
02195	10.6
02198	17.1
02220	8.4
02230	4.6
02240	13.9
02261	9.3
02270	33.6
02275	12.3
02282	12.8
02290	22.1
04000	19.0
04001	36.5
04003	19.6
04005	21.6
04007	25.7
04009	26.0
04011	13.9
04012	24.2
04013	17.4
04015	21.7
04017	32.4
04019	20.4
04021	17.4
04023	26.2
04025	18.4
04027	22.3
05000	19.3
05001	18.5
05003	19.8
05005	16.8
05007	12.1
05009	16.9
05011	24.4
05013	16.5
05015	18.7
05017	33.4
05019	23.1
05021	20.1
05023	16.2
05025	16.7
05027	26.4
05029	23.0
05031	20.6
05033	18.0
05035	26.6
05037	19.2
05039	21.5
05041	27.6
05043	22.6
05045	14.7
05047	20.9
05049	21.4
05051	20.9
05053	11.5
05055	17.4
05057	24.7
05059	20.3
05061	20.9
05063	21.4
05065	20.5
05067	23.9
05069	24.3
05071	20.8
05073	24.2
05075	23.0
05077	35.2
05079	25.4
05081	17.6
05083	20.0
05085	13.7
05087	22.6
05089	20.5
05091	21.5
05093	25.4
05095	31.6
05097	21.9
05099	23.5
05101	21.3
05103	24.1
05105	16.4
05107	34.0
05109	20.5
05111	25.0
05113	22.1
05115	22.1
05117	21.7
05119	16.6
05121	23.4
05123	32.9
05125	10.0
05127	22.3
05129	28.6
05131	21.2
05133	21.7
05135	24.5
05137	22.9
05139	21.5
05141	22.1
05143	20.1
05145	18.0
05147	27.3
05149	19.5
06000	16.6
06001	13.2
06003	17.4
06005	14.0
06007	22.6
06009	12.5
06011	13.2
06013	11.9
06015	25.4
06017	10.3
06019	25.8
06021	19.2
06023	21.1
06025	26.0
06027	12.7
06029	24.6
06031	21.2
06033	23.0
06035	19.3
06037	18.4
06039	23.6
06041	9.4
06043	15.7
06045	20.2
06047	26.8
06049	21.5
06051	10.8
06053	17.1
06055	12.0
06057	12.1
06059	13.0
06061	8.5
06063	14.8
06065	16.9
06067	17.7
06069	12.4
06071	19.4
06073	15.2
06075	13.8
06077	18.2
06079	15.1
06081	7.9
06083	15.4
06085	10.7
06087	14.9
06089	19.4
06091	13.6
06093	24.4
06095	13.6
06097	12.2
06099	23.3
06101	15.8
06103	19.5
06105	21.4
06107	25.6
06109	16.6
06111	11.5
06113	21.3
06115	19.6
08000	13.4
08001	16.1
08003	22.7
08005	12.0
08007	14.9
08009	20.5
08011	32.4
08013	13.8
08014	6.5
08015	12.9
08017	12.9
08019	8.9
08021	19.8
08023	26.0
08025	48.1
08027	15.6
08029	16.6
08031	18.7
08033	13.3
08035	4.3
08037	9.8
08039	7.9
08041	13.2
08043	18.0
08045	10.7
08047	7.8
08049	10.4
08051	17.9
08053	10.7
08055	22.0
08057	16.1
08059	9.0
08061	12.6
08063	16.2
08065	16.4
08067	11.1
08069	13.8
08071	19.5
