"Notes"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Medium Metro"	"3"	"80-84 years"	"80-84"	10	824	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Medium Metro"	"3"	"85-89 years"	"85-89"	11	Not Applicable	Not Applicable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"55-59 years"	"55-59"	16	13594	Unreliable	0.0032%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"60-64 years "	"60-64"	16	12681	Unreliable	0.0032%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"65-69 years"	"65-69"	19	11523	Unreliable	0.0038%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"70-74 years"	"70-74"	25	8551	292.3635	0.0050%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"75-79 years"	"75-79"	22	6071	362.3785	0.0044%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"80-84 years"	"80-84"	53	4114	1288.2839	0.0105%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"85-89 years"	"85-89"	49	Not Applicable	Not Applicable	0.0097%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"90-94 years"	"90-94"	43	Not Applicable	Not Applicable	0.0085%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"95-99 years"	"95-99"	10	Not Applicable	Not Applicable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	13	2416	Unreliable	0.0026%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	10	1699	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	13	1081	Unreliable	0.0026%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"55-59 years"	"55-59"	21	8414	249.5840	0.0042%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"60-64 years "	"60-64"	12	7314	Unreliable	0.0024%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"65-69 years"	"65-69"	19	5874	Unreliable	0.0038%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"70-74 years"	"70-74"	17	4279	Unreliable	0.0034%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"75-79 years"	"75-79"	27	3358	804.0500	0.0054%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"80-84 years"	"80-84"	29	2386	1215.4233	0.0057%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"85-89 years"	"85-89"	21	Not Applicable	Not Applicable	0.0042%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"90-94 years"	"90-94"	15	Not Applicable	Not Applicable	0.0030%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	10	1128	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	10	Not Applicable	Not Applicable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Clay County, AL"	"01027"	"NonCore (non-metro)"	"6"	"85-89 years"	"85-89"	10	Not Applicable	Not Applicable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Micropolitan (non-metro)"	"5"	"85-89 years"	"85-89"	13	Not Applicable	Not Applicable	0.0026%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	"80-84 years"	"80-84"	10	1265	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	"85-89 years"	"85-89"	11	Not Applicable	Not Applicable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"65-69 years"	"65-69"	12	4542	Unreliable	0.0024%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"75-79 years"	"75-79"	14	2492	Unreliable	0.0028%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"80-84 years"	"80-84"	15	1706	Unreliable	0.0030%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"85-89 years"	"85-89"	18	Not Applicable	Not Applicable	0.0036%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"90-94 years"	"90-94"	14	Not Applicable	Not Applicable	0.0028%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Dale County, AL"	"01045"	"Micropolitan (non-metro)"	"5"	"80-84 years"	"80-84"	14	968	Unreliable	0.0028%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Dale County, AL"	"01045"	"Micropolitan (non-metro)"	"5"	"90-94 years"	"90-94"	10	Not Applicable	Not Applicable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (non-metro)"	"5"	"55-59 years"	"55-59"	12	3122	Unreliable	0.0024%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (non-metro)"	"5"	"65-69 years"	"65-69"	10	2106	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (non-metro)"	"6"	"80-84 years"	"80-84"	15	1346	Unreliable	0.0030%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (non-metro)"	"6"	"85-89 years"	"85-89"	10	Not Applicable	Not Applicable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (non-metro)"	"6"	"90-94 years"	"90-94"	19	Not Applicable	Not Applicable	0.0038%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Medium Metro"	"3"	"80-84 years"	"80-84"	11	1143	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Escambia County, AL"	"01053"	"NonCore (non-metro)"	"6"	"80-84 years"	"80-84"	14	755	Unreliable	0.0028%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Escambia County, AL"	"01053"	"NonCore (non-metro)"	"6"	"85-89 years"	"85-89"	17	Not Applicable	Not Applicable	0.0034%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"55-59 years"	"55-59"	14	7316	Unreliable	0.0028%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"60-64 years "	"60-64"	11	7111	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"65-69 years"	"65-69"	16	5629	Unreliable	0.0032%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"70-74 years"	"70-74"	25	4159	601.1060	0.0050%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"75-79 years"	"75-79"	20	3092	646.8305	0.0040%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"80-84 years"	"80-84"	15	2294	Unreliable	0.0030%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"85-89 years"	"85-89"	20	Not Applicable	Not Applicable	0.0040%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"90-94 years"	"90-94"	14	Not Applicable	Not Applicable	0.0028%
